"Date","Municipality","Trip Duration","Membership Type","No of Trips","Miles Travelled"
"9/1/2010","Arlington, VA","<0.5 hr","24-hr Pass","152","0"
"9/1/2010","Arlington, VA","<0.5 hr","Annual","301","195"
"9/1/2010","Arlington, VA","0.5 - 1 hr","24-hr Pass","46","0"
"9/1/2010","Arlington, VA","0.5 - 1 hr","Annual","11","0"
"9/1/2010","Arlington, VA","1.5 - 2 hr","24-hr Pass","41","0"
"9/1/2010","Arlington, VA","1.5 - 2 hr","Annual","0","0"
"9/1/2010","Arlington, VA","2 - 3 hr","24-hr Pass","23","0"
"9/1/2010","Arlington, VA","2 - 3 hr","Annual","4","0"
"9/1/2010","Arlington, VA","3 - 4 hr","24-hr Pass","8","0"
"9/1/2010","Arlington, VA","3 - 4 hr","Annual","8","0"
"9/1/2010","Arlington, VA","5 - 24 hr","24-hr Pass","3","0"
"9/1/2010","Arlington, VA","5 - 24 hr","Annual","0","0"
"9/1/2010","Washington, DC","<0.5 hr","24-hr Pass","568","0"
"9/1/2010","Washington, DC","<0.5 hr","Annual","2469","6314"
"9/1/2010","Washington, DC","0.5 - 1 hr","24-hr Pass","199","0"
"9/1/2010","Washington, DC","0.5 - 1 hr","Annual","76","0"
"9/1/2010","Washington, DC","1 - 1.5 hr","24-hr Pass","87","0"
"9/1/2010","Washington, DC","1 - 1.5 hr","Annual","9","0"
"9/1/2010","Washington, DC","1.5 - 2 hr","24-hr Pass","61","0"
"9/1/2010","Washington, DC","1.5 - 2 hr","Annual","6","0"
"9/1/2010","Washington, DC","2 - 3 hr","24-hr Pass","48","0"
"9/1/2010","Washington, DC","2 - 3 hr","Annual","4","0"
"9/1/2010","Washington, DC","3 - 4 hr","24-hr Pass","24","0"
"9/1/2010","Washington, DC","3 - 4 hr","Annual","4","0"
"9/1/2010","Washington, DC","4 - 5 hr","24-hr Pass","10","0"
"9/1/2010","Washington, DC","4 - 5 hr","Annual","3","0"
"9/1/2010","Washington, DC","5 - 24 hr","24-hr Pass","28","0"
"9/1/2010","Washington, DC","5 - 24 hr","Annual","10","0"
"10/1/2010","Arlington, VA","<0.5 hr","24-hr Pass","369","0"
"10/1/2010","Arlington, VA","<0.5 hr","Annual","1495","1178"
"10/1/2010","Arlington, VA","0.5 - 1 hr","24-hr Pass","168","0"
"10/1/2010","Arlington, VA","0.5 - 1 hr","Annual","63","0"
"10/1/2010","Arlington, VA","1 - 1.5 hr","24-hr Pass","101","0"
"10/1/2010","Arlington, VA","1 - 1.5 hr","Annual","4","0"
"10/1/2010","Arlington, VA","1.5 - 2 hr","24-hr Pass","73","0"
"10/1/2010","Arlington, VA","1.5 - 2 hr","Annual","1","0"
"10/1/2010","Arlington, VA","2 - 3 hr","24-hr Pass","77","0"
"10/1/2010","Arlington, VA","2 - 3 hr","Annual","3","0"
"10/1/2010","Arlington, VA","3 - 4 hr","24-hr Pass","29","0"
"10/1/2010","Arlington, VA","3 - 4 hr","Annual","0","0"
"10/1/2010","Arlington, VA","4 - 5 hr","24-hr Pass","19","0"
"10/1/2010","Arlington, VA","4 - 5 hr","Annual","8","0"
"10/1/2010","Arlington, VA","5 - 24 hr","24-hr Pass","23","0"
"10/1/2010","Arlington, VA","5 - 24 hr","Annual","2","0"
"10/1/2010","Washington, DC","<0.5 hr","24-hr Pass","5252","0"
"10/1/2010","Washington, DC","<0.5 hr","Annual","23080","38095"
"10/1/2010","Washington, DC","0.5 - 1 hr","24-hr Pass","1878","0"
"10/1/2010","Washington, DC","0.5 - 1 hr","Annual","808","0"
"10/1/2010","Washington, DC","1 - 1.5 hr","24-hr Pass","1084","0"
"10/1/2010","Washington, DC","1 - 1.5 hr","Annual","136","0"
"10/1/2010","Washington, DC","1.5 - 2 hr","24-hr Pass","733","0"
"10/1/2010","Washington, DC","1.5 - 2 hr","Annual","44","0"
"10/1/2010","Washington, DC","2 - 3 hr","24-hr Pass","659","0"
"10/1/2010","Washington, DC","2 - 3 hr","Annual","44","0"
"10/1/2010","Washington, DC","3 - 4 hr","24-hr Pass","233","0"
"10/1/2010","Washington, DC","3 - 4 hr","Annual","30","0"
"10/1/2010","Washington, DC","4 - 5 hr","24-hr Pass","102","0"
"10/1/2010","Washington, DC","4 - 5 hr","Annual","8","0"
"10/1/2010","Washington, DC","5 - 24 hr","24-hr Pass","188","0"
"10/1/2010","Washington, DC","5 - 24 hr","Annual","27","0"
"11/1/2010","Arlington, VA","<0.5 hr","24-hr Pass","183","0"
"11/1/2010","Arlington, VA","<0.5 hr","Annual","1512","1573"
"11/1/2010","Arlington, VA","0.5 - 1 hr","24-hr Pass","72","0"
"11/1/2010","Arlington, VA","0.5 - 1 hr","Annual","46","0"
"11/1/2010","Arlington, VA","1 - 1.5 hr","24-hr Pass","60","0"
"11/1/2010","Arlington, VA","1 - 1.5 hr","Annual","6","0"
"11/1/2010","Arlington, VA","1.5 - 2 hr","24-hr Pass","33","0"
"11/1/2010","Arlington, VA","1.5 - 2 hr","Annual","3","0"
"11/1/2010","Arlington, VA","2 - 3 hr","24-hr Pass","19","0"
"11/1/2010","Arlington, VA","2 - 3 hr","Annual","3","0"
"11/1/2010","Arlington, VA","3 - 4 hr","24-hr Pass","7","0"
"11/1/2010","Arlington, VA","3 - 4 hr","Annual","1","0"
"11/1/2010","Arlington, VA","4 - 5 hr","24-hr Pass","1","0"
"11/1/2010","Arlington, VA","4 - 5 hr","Annual","0","0"
"11/1/2010","Arlington, VA","5 - 24 hr","24-hr Pass","2","0"
"11/1/2010","Arlington, VA","5 - 24 hr","Annual","3","0"
"11/1/2010","Washington, DC","<0.5 hr","24-hr Pass","5253","0"
"11/1/2010","Washington, DC","<0.5 hr","Annual","36464","50876"
"11/1/2010","Washington, DC","0.5 - 1 hr","24-hr Pass","1440","0"
"11/1/2010","Washington, DC","0.5 - 1 hr","Annual","814","0"
"11/1/2010","Washington, DC","1 - 1.5 hr","24-hr Pass","820","0"
"11/1/2010","Washington, DC","1 - 1.5 hr","Annual","92","0"
"11/1/2010","Washington, DC","1.5 - 2 hr","24-hr Pass","528","0"
"11/1/2010","Washington, DC","1.5 - 2 hr","Annual","44","0"
"11/1/2010","Washington, DC","2 - 3 hr","24-hr Pass","412","0"
"11/1/2010","Washington, DC","2 - 3 hr","Annual","34","0"
"11/1/2010","Washington, DC","3 - 4 hr","24-hr Pass","160","0"
"11/1/2010","Washington, DC","3 - 4 hr","Annual","6","0"
"11/1/2010","Washington, DC","4 - 5 hr","24-hr Pass","67","0"
"11/1/2010","Washington, DC","4 - 5 hr","Annual","4","0"
"11/1/2010","Washington, DC","5 - 24 hr","24-hr Pass","95","0"
"11/1/2010","Washington, DC","5 - 24 hr","Annual","33","0"
"12/1/2010","Arlington, VA","<0.5 hr","24-hr Pass","47","0"
"12/1/2010","Arlington, VA","<0.5 hr","Annual","970","890"
"12/1/2010","Arlington, VA","0.5 - 1 hr","24-hr Pass","12","0"
"12/1/2010","Arlington, VA","0.5 - 1 hr","Annual","10","0"
"12/1/2010","Arlington, VA","1 - 1.5 hr","24-hr Pass","5","0"
"12/1/2010","Arlington, VA","1 - 1.5 hr","Annual","3","0"
"12/1/2010","Arlington, VA","1.5 - 2 hr","24-hr Pass","3","0"
"12/1/2010","Arlington, VA","1.5 - 2 hr","Annual","0","0"
"12/1/2010","Arlington, VA","2 - 3 hr","24-hr Pass","1","0"
"12/1/2010","Arlington, VA","2 - 3 hr","Annual","1","0"
"12/1/2010","Arlington, VA","3 - 4 hr","24-hr Pass","0","0"
"12/1/2010","Arlington, VA","3 - 4 hr","Annual","0","0"
"12/1/2010","Arlington, VA","4 - 5 hr","24-hr Pass","0","0"
"12/1/2010","Arlington, VA","4 - 5 hr","Annual","0","0"
"12/1/2010","Arlington, VA","5 - 24 hr","24-hr Pass","1","0"
"12/1/2010","Arlington, VA","5 - 24 hr","Annual","3","0"
"12/1/2010","Washington, DC","<0.5 hr","24-hr Pass","1811","0"
"12/1/2010","Washington, DC","<0.5 hr","Annual","24768","28669"
"12/1/2010","Washington, DC","0.5 - 1 hr","24-hr Pass","341","0"
"12/1/2010","Washington, DC","0.5 - 1 hr","Annual","320","0"
"12/1/2010","Washington, DC","1 - 1.5 hr","24-hr Pass","163","0"
"12/1/2010","Washington, DC","1 - 1.5 hr","Annual","40","0"
"12/1/2010","Washington, DC","1.5 - 2 hr","24-hr Pass","115","0"
"12/1/2010","Washington, DC","1.5 - 2 hr","Annual","18","0"
"12/1/2010","Washington, DC","2 - 3 hr","24-hr Pass","72","0"
"12/1/2010","Washington, DC","2 - 3 hr","Annual","8","0"
"12/1/2010","Washington, DC","3 - 4 hr","24-hr Pass","32","0"
"12/1/2010","Washington, DC","3 - 4 hr","Annual","7","0"
"12/1/2010","Washington, DC","4 - 5 hr","24-hr Pass","9","0"
"12/1/2010","Washington, DC","4 - 5 hr","Annual","1","0"
"12/1/2010","Washington, DC","5 - 24 hr","24-hr Pass","28","0"
"12/1/2010","Washington, DC","5 - 24 hr","Annual","27","0"
"1/1/2011","Arlington, VA","<0.5 hr","24-hr Pass","48","0"
"1/1/2011","Arlington, VA","<0.5 hr","Annual","1443","1112"
"1/1/2011","Arlington, VA","0.5 - 1 hr","24-hr Pass","12","0"
"1/1/2011","Arlington, VA","0.5 - 1 hr","Annual","22","0"
"1/1/2011","Arlington, VA","1 - 1.5 hr","24-hr Pass","4","0"
"1/1/2011","Arlington, VA","1 - 1.5 hr","Annual","0","0"
"1/1/2011","Arlington, VA","1.5 - 2 hr","24-hr Pass","3","0"
"1/1/2011","Arlington, VA","1.5 - 2 hr","Annual","0","0"
"1/1/2011","Arlington, VA","2 - 3 hr","24-hr Pass","2","0"
"1/1/2011","Arlington, VA","2 - 3 hr","Annual","0","0"
"1/1/2011","Arlington, VA","3 - 4 hr","24-hr Pass","0","0"
"1/1/2011","Arlington, VA","3 - 4 hr","Annual","0","0"
"1/1/2011","Arlington, VA","4 - 5 hr","24-hr Pass","0","0"
"1/1/2011","Arlington, VA","4 - 5 hr","Annual","0","0"
"1/1/2011","Arlington, VA","5 - 24 hr","24-hr Pass","0","0"
"1/1/2011","Arlington, VA","5 - 24 hr","Annual","2","0"
